Programtervező informatikus BSc_N (2017) [BSZKPTI-N1] mintatanterv,,,,,,,,,,,,,,,,,,,,,,,
,Sorkód,Név,Félév,Felvétel típus,Kurustípus,Heti óraszám,Féléves óraszám,Kredit,Ebből teljesítendő kredit,Teljesítendő csoport,Teljesítendő tárgy,Előfeltétel,,,,,,,,,,,
◼◼◼◼,MBNXK114G,Diszkrét matematika III.,3,Kötelezően választható,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑MBNXK313,Kalkulus II.,3,Kötelezően választható,,,,,5,2,,,,,,,,,,,,,
◼◼◼,TE‑MBNXK313E,Kalkulus II. előadás,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,MBNXK313E,Kalkulus II.,3,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑MBNXK313G,Kalkulus II. gyakorlat,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,MBNXK313G,Kalkulus II.,3,Kötelezően választható,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IBK404,Algoritmusok és adatszerkezetek II.,4,Kötelezően választható,,,,,4,2,,,,,,,,,,,,,
◼◼◼,TE‑IBK404E,Algoritmusok és adatszerkezetek II. előadás,4,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IBK404E,Algoritmusok és adatszerkezetek II.,4,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑IBK404G,Algoritmusok és adatszerkezetek II. gyakorlat,4,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IBK404G,Algoritmusok és adatszerkezetek II.,4,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼,TT‑IBK615,Hardware és software rendszerek verifikációja,4,Kötelezően választható,,,,,4,2,,,,,,,,,,,,,
◼◼◼,TE‑IBK615E,Hardware és software rendszerek verifikációja előadás,4,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IBK615E,Hardware és software rendszerek verifikációja,4,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑IBK615G,Hardware és software rendszerek verifikációja gyakorlat,4,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IBK615G,Hardware és software rendszerek verifikációja,4,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼,TT‑IBK309,Döntéselméleti rendszerek,,Kötelezően választható,,,,,4,,2,,,,,,,,,,,,
◼◼◼,TE‑IBK309E,Döntéselméleti rendszerek előadás,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IBK309E,Döntéselméleti rendszerek,2,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑IBK309G,Döntéselméleti rendszerek gyakorlat,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IBK309G,Döntéselméleti rendszerek gyakorlat,2,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼,TT‑IB076,Új elvű számítások az informatikában,,Kötelezően választható,,,,,3,,,,,,,,,,,,,,
◼◼◼,TE‑IB076E,Új elvű számítások az informatikában előadás,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,IB076e,Új elvű számítások az informatikában,2,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB077,Funkcionális programozás és lambda-kalkulus,4,Kötelezően választható,,,,3,,,,,,,,,,,,,,,
◼◼◼,IB077E,Funkcionális programozás és lambda-kalkulus,4,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB074,Szintaktikus elemzési módszerek,,Kötelezően választható,,,,,3,,,,,,,,,,,,,,
◼◼◼,IB001e‑00075,Szintaktikus elemzési módszerek,2,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼,MK‑DIF‑INF,Differenciált informatikai ismeretek,,Kötelező,,,,,23,,,,,,,,,,,,,,
◼◼,TT‑IB611,Rendszerfejlesztés II.,,Kötelezően választható,,,,,4,2,,,,,,,,,,,,,
◼◼◼,TE‑IB611E,Rendszerfejlesztés II. előadás,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB611e,Rendszerfejlesztés II.,6,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑IB611G,Rendszerfejlesztés II. gyakorlat,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB611g,Rendszerfejlesztés II. gyak.,6,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼,TT‑IB676,Assembly programozás,,Kötelezően választható,,,,,2,2,,,,,,,,,,,,,
◼◼◼,TE‑IB676E,Assembly programozás előadás,,Kötelezően választható,,,,,1,,1,,,,,,,,,,,,
◼◼◼◼,IB676e,Assembly programozás,4,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
◼◼◼,TE‑IB676G,Assembly programozás gyakorlat,,Kötelezően választható,,,,,1,,1,,,,,,,,,,,,
◼◼◼◼,IB676l,Assembly programozás gyakorlat,4,Kötelezően választható,Labor,1,,1,,,,,,,,,,,,,,,
◼◼,TT‑IB155,Számítógépes grafika,,Kötelezően választható,,,,,4,,,,,,,,,,,,,,
◼◼◼,TE‑IB155E,Számítógépes grafika előadás,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB155e‑00002,Számítógépes grafika,5,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼◼,IB155e‑00001,Számítógépes grafika (tehetséggondozó program),5,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑IB155G,Számítógépes grafika gyakorlat,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB155l,Számítógépes grafika gyak.,5,Kötelezően választható,Labor,1,,2,,,,,,,,,,,,,,,
◼◼◼◼,IB155l‑00001,Számítógépes grafika gyak. (tehetséggondozó program),5,Kötelezően választható,Labor,1,,2,,,,,,,,,,,,,,,
◼◼,TT‑IB041,Multimédia,,Kötelezően választható,,,,,4,,,,,,,,,,,,,,
◼◼◼,TE‑IB041E,Multimédia előadás,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB041e,Multimédia,3,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
